"id","hub","title","primary_query","slug","priority","lead_magnet","primary_cta","money_target","required_proof","conversion_role"
"H1-01","Monthly Financial Clarity and Reporting","What Should a Small-Business Monthly Financial Report Include?","what should a small business monthly financial report include","/blog/what-small-business-monthly-financial-report-should-include/","P0","Monthly Money Review Kit","View the sample briefing","/sample-briefing","Annotated sample with labeled sections","Educate to capture"
"H1-02","Monthly Financial Clarity and Reporting","The 7 Numbers Every Business Owner Should Review Each Month","numbers every business owner should know","/blog/numbers-business-owner-should-review-monthly/","P0","Monthly Money Review Kit","Download the seven-number review sheet","/templates","A one-page dashboard populated with a fictional business","Educate to capture"
"H1-03","Monthly Financial Clarity and Reporting","Monthly Financial Review Checklist: A 30-Minute Owner Routine","monthly financial review checklist","/blog/monthly-financial-review-checklist/","P0","Monthly Money Review Kit","Download the printable checklist","/templates","Printable checklist plus a completed example","Educate to capture"
"H1-04","Monthly Financial Clarity and Reporting","Sample Monthly Finance Briefing: From Numbers to Decisions","sample monthly financial report for small business","/blog/sample-monthly-finance-briefing/","P0","Sample Briefing PDF","See the full sample briefing","/sample-briefing","Annotated GoldFin sample with callouts","Demonstrate to compare"
"H1-05","Monthly Financial Clarity and Reporting","How to Read a Monthly Financial Report Without a Finance Degree","how to read a small business financial report","/blog/how-to-read-small-business-financial-report/","P1","Monthly Money Review Kit","See the same numbers explained in plain English","/sample-briefing","Before-and-after technical and plain-language explanations","Educate to capture"
"H1-06","Monthly Financial Clarity and Reporting","P&L vs Balance Sheet vs Cash Flow: What Each Tells an Owner","profit and loss vs balance sheet vs cash flow","/blog/profit-loss-vs-balance-sheet-vs-cash-flow/","P1","Financial Statements Cheat Sheet","Download the statement comparison sheet","/templates","Three statements using one fictional business","Educate to capture"
"H1-07","Monthly Financial Clarity and Reporting","Weekly vs Monthly vs Quarterly Financial Reviews","how often should a small business review finances","/blog/how-often-small-business-review-finances/","P1","Finance Review Calendar","Download the review calendar","/templates","Example weekly/monthly/quarterly cadence","Educate to capture"
"H1-08","Monthly Financial Clarity and Reporting","How Long Should Monthly Financial Reporting Take?","how long does monthly financial reporting take","/blog/monthly-financial-reporting-timeline/","P1","Reporting Time-Cost Calculator","Compare DIY time with managed reporting","/pricing","Documented GoldFin workflow with timing ranges","Demonstrate to compare"
"H1-09","Monthly Financial Clarity and Reporting","How a Monthly Financial Reporting Service Works","how does monthly financial reporting service work","/blog/how-monthly-financial-reporting-service-works/","P0","GoldFin Process Guide","See GoldFin Reports pricing","/reports","Process diagram from inputs to briefing","Demonstrate to compare"
"H1-10","Monthly Financial Clarity and Reporting","10 Monthly Reporting Mistakes That Hide What Is Happening","small business financial reporting mistakes","/blog/small-business-financial-reporting-mistakes/","P1","Monthly Report Quality Checklist","Audit your current monthly report","/sample-briefing","Before-and-after classification examples","Educate to capture"
"H1-11","Monthly Financial Clarity and Reporting","When Should a Small Business Outsource Monthly Reporting?","when to outsource financial reporting","/blog/when-to-outsource-monthly-financial-reporting/","P0","DIY vs Managed Scorecard","Compare DIY and GoldFin Reports","/compare","Decision tree based on time, complexity, and decision risk","Demonstrate to compare"
"H1-12","Monthly Financial Clarity and Reporting","Bank Balance vs Financial Report: Why They Tell Different Stories","bank balance vs financial statements","/blog/bank-balance-vs-financial-report/","P0","Available-Cash Worksheet","See the complete monthly picture","/sample-briefing","Obligations example that changes apparent available cash","Educate to capture"
"H1-13","Monthly Financial Clarity and Reporting","Monthly Financial Report Template for Owner-Led Businesses","monthly financial report template small business","/blog/monthly-financial-report-template/","P0","Monthly Financial Report Template","Download the editable template","/templates","Editable sheet plus completed fictional example","Capture to nurture"
"H1-14","Monthly Financial Clarity and Reporting","Monthly Financial Reporting for Non-Finance Founders","financial reporting for non finance founders","/blog/financial-reporting-for-non-finance-founders/","P1","Founder Finance Cheat Sheet","Get the plain-English review guide","/templates","Founder-oriented glossary and annotated example","Educate to capture"
"H1-15","Monthly Financial Clarity and Reporting","12 Questions to Ask During a Monthly Financial Review","monthly financial review questions","/blog/monthly-financial-review-questions/","P1","Monthly Review Question Card","Download the 12-question card","/templates","One-page question card with answer examples","Educate to capture"
"H2-01","Cash Flow, Runway and Reserves","Cash Flow Forecast Template for Owner-Led Businesses","cash flow forecast template for small business","/blog/cash-flow-forecast-template-small-business/","P0","Cash Flow Forecast Toolkit","Download the editable forecast","/templates","Template with a completed example and formula notes","Capture to nurture"
"H2-02","Cash Flow, Runway and Reserves","How to Build a 13-Week Cash Flow Forecast","13 week cash flow forecast","/blog/how-to-build-13-week-cash-flow-forecast/","P0","13-Week Forecast Sheet","Build your 13-week forecast","/templates","Completed 13-week model with assumptions","Educate to capture"
"H2-03","Cash Flow, Runway and Reserves","Cash Flow vs Profit: Why a Profitable Business Can Feel Broke","cash flow vs profit small business","/blog/cash-flow-vs-profit-small-business/","P0","Cash vs Profit Explainer","See how GoldFin explains both","/sample-briefing","Fictional profitable-but-cash-poor scenario","Educate to capture"
"H2-04","Cash Flow, Runway and Reserves","Revenue Is Up but Cash Is Down: What to Check First","revenue up but cash flow down","/blog/revenue-up-cash-down/","P0","Cash Flow Diagnostic","Run the seven-point cash check","/templates","Diagnostic flowchart with example numbers","Educate to capture"
"H2-05","Cash Flow, Runway and Reserves","A 20-Minute Weekly Cash Flow Review for Owners","weekly cash flow review","/blog/weekly-cash-flow-review/","P1","Weekly Cash Review Checklist","Download the weekly review sheet","/templates","Screen walkthrough or completed checklist","Educate to capture"
"H2-06","Cash Flow, Runway and Reserves","Business Cash Runway: Formula, Calculator, and Warning Signs","business cash runway calculator","/blog/business-cash-runway-calculator/","P0","Cash Runway Calculator","Calculate your current runway","/templates","Interactive calculator and scenario table","Capture to nurture"
"H2-07","Cash Flow, Runway and Reserves","How Much Cash Should a Small Business Keep in Reserve?","how much cash reserve should a small business have","/blog/how-much-cash-reserve-small-business/","P1","Reserve Target Calculator","Estimate a reserve range","/templates","Assumption-based calculator with caveats","Educate to capture"
"H2-08","Cash Flow, Runway and Reserves","Best-, Base-, and Worst-Case Cash Flow Scenarios","cash flow scenario planning","/blog/cash-flow-scenario-planning/","P1","Scenario Planning Workbook","Build three cash scenarios","/advisory","Three-scenario model using the same business","Demonstrate to compare"
"H2-09","Cash Flow, Runway and Reserves","Seasonal Cash Flow Planning Before the Slow Months","seasonal cash flow planning","/blog/seasonal-cash-flow-planning/","P1","Seasonal Cash Planner","Map your next 12 months","/templates","Twelve-month seasonal example","Educate to capture"
"H2-10","Cash Flow, Runway and Reserves","How Late-Paying Customers Affect Cash Flow","late payments cash flow impact","/blog/late-paying-customers-cash-flow/","P1","Receivables Impact Sheet","Model the timing impact","/templates","Invoice-timing table and cash impact example","Educate to capture"
"H2-11","Cash Flow, Runway and Reserves","12 Cash Flow Forecasting Mistakes to Avoid","cash flow forecasting mistakes","/blog/cash-flow-forecasting-mistakes/","P1","Forecast Quality Checklist","Check your forecast before relying on it","/templates","Incorrect and corrected forecast excerpts","Educate to capture"
"H2-12","Cash Flow, Runway and Reserves","Cash Flow Projection vs Cash Flow Statement","cash flow projection vs cash flow statement","/blog/cash-flow-projection-vs-statement/","P1","Cash Flow Terms Cheat Sheet","Download the comparison sheet","/templates","Side-by-side forecast and actual example","Educate to capture"
"H2-13","Cash Flow, Runway and Reserves","Negative Cash Flow: Causes, Tests, and First Questions","negative cash flow small business","/blog/negative-cash-flow-small-business/","P1","Cash Flow Diagnostic","Identify the likely cause","/sample-briefing","Cause-to-test diagnostic table","Educate to capture"
"H2-14","Cash Flow, Runway and Reserves","Accounts Receivable and Cash Flow: A Practical Owner's Guide","accounts receivable and cash flow","/blog/accounts-receivable-cash-flow/","P2","Receivables Tracker","Download the receivables timing sheet","/templates","Aging schedule and timing scenario","Educate to capture"
"H2-15","Cash Flow, Runway and Reserves","How Much Cash Is Actually Available After Obligations?","available cash after business obligations","/blog/calculate-available-business-cash/","P0","Available-Cash Worksheet","Calculate spendable cash","/sample-briefing","Obligation waterfall with due dates","Demonstrate to compare"
"H3-01","Expenses, Pricing and Profitability","Business Expense Tracker Template for Owner-Led Companies","business expense tracker template","/blog/business-expense-tracker-template/","P0","Expense Tracker","Download the expense tracker","/templates","Editable tracker with category guidance","Capture to nurture"
"H3-02","Expenses, Pricing and Profitability","Budget vs Actual: How to Review What Changed","budget vs actual analysis small business","/blog/budget-vs-actual-small-business/","P0","Budget-vs-Actual Sheet","Download the variance review sheet","/templates","Annotated variance table with explanations","Educate to capture"
"H3-03","Expenses, Pricing and Profitability","Markup vs Margin: The Pricing Difference That Changes Profit","markup vs margin","/blog/markup-vs-margin/","P0","Markup-to-Margin Calculator","Calculate both before pricing","/templates","Formula table with multiple examples","Educate to capture"
"H3-04","Expenses, Pricing and Profitability","How to Calculate a Small-Business Break-Even Point","break even point calculator small business","/blog/small-business-break-even-calculator/","P0","Break-Even Calculator","Calculate your break-even revenue","/templates","Calculator with fixed and variable cost inputs","Capture to nurture"
"H3-05","Expenses, Pricing and Profitability","Gross Margin vs Net Profit: What Owners Need to Watch","gross margin vs net profit","/blog/gross-margin-vs-net-profit/","P0","Profitability Cheat Sheet","Download the margin guide","/templates","One business shown through both measures","Educate to capture"
"H3-06","Expenses, Pricing and Profitability","Can Your Business Afford to Raise Prices?","should I raise my business prices","/blog/can-business-afford-to-raise-prices/","P1","Price Change Scenario Tool","Model a price change","/advisory","Volume-loss and margin scenarios","Demonstrate to compare"
"H3-07","Expenses, Pricing and Profitability","The Monthly Subscription Audit: Find Recurring Expense Creep","business subscription audit","/blog/business-subscription-audit/","P1","Subscription Audit Sheet","Audit recurring expenses","/templates","Redacted or fictional subscription list","Capture to nurture"
"H3-08","Expenses, Pricing and Profitability","Which Products or Services Are Actually Profitable?","product profitability analysis","/blog/product-service-profitability-analysis/","P0","Offer Profitability Workbook","Compare profitability by offer","/advisory","Anonymized offer-level contribution table","Demonstrate to compare"
"H3-09","Expenses, Pricing and Profitability","Revenue Is Growing but Profit Is Not: Seven Places to Look","revenue growing but profit not","/blog/revenue-growing-profit-not/","P0","Profit Leak Diagnostic","Find the likely profit leak","/sample-briefing","Seven-cause diagnostic with example numbers","Educate to capture"
"H3-10","Expenses, Pricing and Profitability","How to Reduce Business Expenses Without Cutting the Wrong Things","how to reduce business expenses","/blog/reduce-business-expenses-safely/","P1","Keep-Cut-Renegotiate Matrix","Prioritize expense changes","/advisory","Decision matrix tied to revenue impact","Educate to capture"
"H3-11","Expenses, Pricing and Profitability","Fixed vs Variable Expenses: A Simple Owner's Guide","fixed vs variable costs small business","/blog/fixed-vs-variable-costs-small-business/","P1","Expense Classification Sheet","Classify your expenses","/templates","Categorized expense list from a fictional business","Educate to capture"
"H3-12","Expenses, Pricing and Profitability","Monthly Profitability Review Checklist","monthly profitability review","/blog/monthly-profitability-review-checklist/","P1","Profitability Review Checklist","Download the monthly checklist","/templates","Printable checklist plus completed example","Capture to nurture"
"H3-13","Expenses, Pricing and Profitability","Contribution Margin for Service Businesses","contribution margin service business","/blog/contribution-margin-service-business/","P1","Contribution Margin Calculator","Calculate contribution by service","/templates","Service-based examples with direct costs","Educate to capture"
"H3-14","Expenses, Pricing and Profitability","Small-Business Pricing Calculator: Cost, Margin, and Capacity","small business pricing calculator","/blog/small-business-pricing-calculator/","P0","Pricing Calculator","Test a profitable price range","/templates","Calculator with capacity and cost assumptions","Capture to nurture"
"H3-15","Expenses, Pricing and Profitability","What Is a Good Profit Margin for a Small Business?","good profit margin for small business","/blog/good-profit-margin-small-business/","P1","Margin Benchmark Worksheet","Compare your margin carefully","/advisory","Industry benchmark sources plus methodology caveats","Educate to capture"
"H4-01","Financial Decisions for Growth","Can My Business Afford to Hire an Employee?","can my business afford to hire an employee","/blog/can-business-afford-to-hire-employee/","P0","Hiring Affordability Calculator","Calculate a safe hiring range","/advisory","Hiring model with cash, payroll, and runway inputs","Convert"
"H4-02","Financial Decisions for Growth","The True Cost of Hiring: Salary Is Only One Part","true cost of hiring an employee","/blog/true-cost-of-hiring-employee/","P0","Hiring Cost Worksheet","Estimate the complete cost","/templates","Editable categories with jurisdiction placeholders","Demonstrate to compare"
"H4-03","Financial Decisions for Growth","How Much Revenue Must a New Hire Generate to Break Even?","revenue needed to justify new hire","/blog/revenue-needed-new-hire-break-even/","P0","New-Hire Break-Even Calculator","Calculate the revenue threshold","/advisory","Role economics model with ramp-up period","Convert"
"H4-04","Financial Decisions for Growth","Employee vs Contractor: A Financial Comparison Framework","employee vs contractor cost comparison","/blog/employee-vs-contractor-cost-comparison/","P1","Employee-vs-Contractor Worksheet","Compare cost scenarios","/advisory","Cost model plus legal-review disclaimer","Convert"
"H4-05","Financial Decisions for Growth","How Much Should a Small Business Spend on Marketing?","small business marketing budget","/blog/small-business-marketing-budget/","P1","Marketing Budget Scenario Tool","Model a budget range","/advisory","Three spend scenarios tied to cash and payback","Demonstrate to compare"
"H4-06","Financial Decisions for Growth","Can the Business Afford New Software or Equipment?","can my business afford new equipment","/blog/business-purchase-affordability-calculator/","P0","Purchase Decision Calculator","Model the cash and payback impact","/templates","Cash purchase vs financing vs delay scenarios","Convert"
"H4-07","Financial Decisions for Growth","How Much Should a Business Set Aside for Taxes?","how much should a small business set aside for taxes","/blog/business-tax-reserve-planning/","P1-GEO","Tax Reserve Planner","Build a planning reserve","/templates","Jurisdiction-specific placeholders and disclaimer","Capture to nurture"
"H4-08","Financial Decisions for Growth","How Much Can a Business Owner Safely Pay Themselves?","how much should a business owner pay themselves","/blog/business-owner-pay-affordability/","P1-GEO","Owner Pay Planning Sheet","Review cash and obligations first","/advisory","Scenario framework; professional-advice disclaimer","Convert"
"H4-09","Financial Decisions for Growth","Pay Down Debt or Reinvest in the Business?","pay off business debt or reinvest","/blog/pay-down-business-debt-or-reinvest/","P1","Debt-vs-Growth Model","Compare both scenarios","/advisory","Interest, runway, and return assumptions table","Convert"
"H4-10","Financial Decisions for Growth","Can the Business Afford a Second Location?","can my business afford a second location","/blog/second-location-financial-model/","P1","Expansion Scenario Model","Model a base and downside case","/advisory","Break-even, ramp, and runway model","Convert"
"H4-11","Financial Decisions for Growth","Can You Afford a Discount or Promotion?","discount profitability calculator","/blog/discount-profitability-calculator/","P1","Discount Break-Even Calculator","Test the promotion before launching","/templates","Volume-lift table at different discount levels","Convert"
"H4-12","Financial Decisions for Growth","Can You Afford to Take On a Large Client?","financial impact of large client","/blog/large-client-financial-impact/","P1","Large-Client Decision Sheet","Model cash timing and concentration risk","/advisory","Revenue timing and customer concentration scenario","Convert"
"H4-13","Financial Decisions for Growth","Financial Scenario Planning Template for Small Businesses","financial scenario planning template","/blog/financial-scenario-planning-template/","P0","Scenario Planning Template","Build three decision cases","/templates","Editable model with a fictional example","Capture to nurture"
"H4-14","Financial Decisions for Growth","The Owner's Financial Decision Checklist","business financial decision checklist","/blog/business-financial-decision-checklist/","P0","Decision Checklist","Download the one-page checklist","/templates","Printable checklist with thresholds and questions","Capture to nurture"
"H4-15","Financial Decisions for Growth","How to Make a Business Decision When the Numbers Are Incomplete","business decision with incomplete financial data","/blog/business-decisions-with-incomplete-data/","P2","Minimum-Viable Numbers Guide","See the minimum information to organize first","/reports","Evidence hierarchy and uncertainty ranges","Educate to capture"
"H5-01","Choosing Financial Support","Bookkeeper vs Accountant vs Controller vs CFO: Who Does What?","bookkeeper vs accountant vs controller vs CFO","/blog/bookkeeper-vs-accountant-vs-controller-vs-cfo/","P0","Financial Support Scorecard","Compare the four roles","/compare","Scope, cost, and decision table reviewed by a qualified SME","Demonstrate to compare"
"H5-02","Choosing Financial Support","Bookkeeper vs Monthly Financial Reporting Service","bookkeeper vs financial reporting service","/blog/bookkeeper-vs-financial-reporting-service/","P0","Financial Support Scorecard","See where GoldFin fits","/compare","Task and output comparison using actual deliverables","Demonstrate to compare"
"H5-03","Choosing Financial Support","What Should a Monthly Financial Reporting Service Include?","monthly financial reporting services","/blog/what-monthly-financial-reporting-service-includes/","P0","Provider Evaluation Checklist","Compare service deliverables","/reports","Transparent deliverables and exclusions checklist","Convert"
"H5-04","Choosing Financial Support","Financial Dashboard vs Plain-English Monthly Briefing","financial dashboard vs financial report","/blog/financial-dashboard-vs-monthly-briefing/","P0","Dashboard-vs-Briefing Scorecard","See the same data explained both ways","/sample-briefing","Side-by-side dashboard and written interpretation","Demonstrate to compare"
"H5-05","Choosing Financial Support","How Much Does a Fractional CFO Cost?","fractional CFO cost","/blog/fractional-cfo-cost/","P0","Financial Support Cost Guide","Compare support costs and depth","/compare","Current sourced pricing ranges with date and geography","Convert"
"H5-06","Choosing Financial Support","When a Small Business Needs a CFO-and When It Does Not","when does a small business need a CFO","/blog/when-small-business-needs-cfo/","P0","CFO Readiness Scorecard","Check the level of support you need","/compare","Stage-based decision tree","Demonstrate to compare"
"H5-07","Choosing Financial Support","Accounting Software Reports vs Human Financial Interpretation","accounting software vs financial advisor","/blog/accounting-software-vs-financial-interpretation/","P0","Software-vs-Interpretation Guide","See a plain-English interpretation example","/sample-briefing","Raw software output beside owner-focused commentary","Demonstrate to compare"
"H5-08","Choosing Financial Support","DIY Spreadsheets vs Managed Monthly Reporting","DIY financial reporting vs outsourced","/blog/diy-vs-managed-monthly-financial-reporting/","P0","DIY-vs-Managed Calculator","Compare time, cost, and consistency","/pricing","Time-cost model and workflow comparison","Convert"
"H5-09","Choosing Financial Support","7 Signs Your Business Needs Better Financial Reporting","signs business needs financial reporting","/blog/signs-business-needs-better-financial-reporting/","P1","Financial Clarity Scorecard","Score your current reporting","/reports","Seven signs tied to observable examples","Educate to capture"
"H5-10","Choosing Financial Support","Questions to Ask Before Outsourcing Financial Reporting","questions to ask financial reporting provider","/blog/questions-before-outsourcing-financial-reporting/","P1","Provider Evaluation Checklist","Download the provider checklist","/security-faq","Checklist answered transparently by GoldFin","Convert"
"H5-11","Choosing Financial Support","Can You Get Useful Reports Without Connecting a Bank Account?","financial reports without bank connection","/blog/financial-reporting-without-bank-connection/","P0","Data & Security Checklist","Review GoldFin's information process","/security-faq","Documented input, access, retention, and security flow","Convert"
"H5-12","Choosing Financial Support","What GoldFin Desk Does-and Does Not Do","what is GoldFin Desk","/blog/what-goldfin-desk-does/","P0","GoldFin Fit Checklist","See whether GoldFin fits your business","/pricing","Explicit scope, exclusions, and ideal-customer table","Convert"
"H5-13","Choosing Financial Support","Controller vs Fractional CFO for a Growing Business","controller vs fractional CFO","/blog/controller-vs-fractional-cfo/","P1","Controller-vs-CFO Scorecard","Choose the right level of support","/compare","Responsibility and business-stage comparison","Demonstrate to compare"
"H5-14","Choosing Financial Support","Monthly Financial Reporting Service Cost: What Changes the Price?","monthly financial reporting service cost","/blog/monthly-financial-reporting-service-cost/","P0","Reporting Cost Guide","See GoldFin's transparent pricing","/pricing","Transparent inclusions, exclusions, and price comparison","Convert"
"H5-15","Choosing Financial Support","The Best Financial Support Option for Each Business Stage","financial support by business stage","/blog/financial-support-by-business-stage/","P1","Business-Stage Scorecard","Find your best next level of support","/compare","Stage-based matrix with exceptions and boundaries","Demonstrate to compare"
